design,n,method,cls,truth,bias,rmse,coverage,width,reps
srs,3000,classical,5,0.011832205038613488,2.5794961386512514e-05,0.0019914961550523986,0.95,0.007718644265943374,500
srs,3000,classical,6,0.1948343292767664,-1.4329276766387955e-05,0.006831579026465208,0.96,0.0283385339729352,500
srs,3000,classical,7,0.016596851362887376,-8.513628873758825e-07,0.002315720730700605,0.95,0.009119570606584379,500
srs,3000,classical,8,0.3328800301760934,-0.0004400301760934107,0.008573163807310807,0.96,0.033708423794564166,500
srs,3000,classical,10,0.0074149808421512375,0.00012501915784876252,0.001671335730235714,0.954,0.006152071611099083,500
srs,3000,classical,12,0.016596851362887376,7.848197044595745e-05,0.0022807591030952275,0.97,0.009142290146274558,500
srs,3000,classical,13,0.007931150860614243,5.5515806052423944e-05,0.0015982677443092657,0.96,0.0063375969645122696,500
srs,3000,map_count,2,0.1908141589406603,0.001181235234559569,0.001181235234559569,,,500
srs,3000,map_count,3,0.020577316312957852,0.0029779039526711786,0.0029779039526711786,,,500
srs,3000,map_count,4,0.20052212582636836,-0.027972444462091295,0.0279724444620913,,,500
srs,3000,map_count,5,0.011832205038613488,0.018453078160052414,0.018453078160052414,,,500
srs,3000,map_count,6,0.1948343292767664,-0.03718409402235412,0.03718409402235412,,,500
srs,3000,map_count,7,0.016596851362887376,0.04642552262214369,0.04642552262214369,,,500
srs,3000,map_count,8,0.3328800301760934,-0.0010124873439082416,0.0010124873439082416,,,500
srs,3000,map_count,10,0.0074149808421512375,0.0064620515772964605,0.00646205157729646,,,500
srs,3000,map_count,12,0.016596851362887376,-0.0013996148577554539,0.0013996148577554539,,,500
srs,3000,map_count,13,0.007931150860614243,-0.007931150860614243,0.007931150860614244,,,500
srs,3000,olofsson,2,0.1908141589406603,-5.4272048305505136e-05,0.003983571678748974,0.96,0.015653536530511977,500
srs,3000,olofsson,3,0.020577316312957852,5.548923610656929e-05,0.0015039366789384651,0.962,0.006215625728506542,500
srs,3000,olofsson,4,0.20052212582636836,1.3653279576803568e-05,0.003938879219276164,0.97,0.016263832681798145,500
srs,3000,olofsson,5,0.011832205038613488,4.195656686231716e-05,0.0018757691147847232,0.946,0.0069440473673321014,500
srs,3000,olofsson,6,0.1948343292767664,-3.3999362587641746e-05,0.0046500384877285585,0.964,0.019458477503192323,500
